8,5,1.838
8,32777,9.295
8,13655,8.0
8,16396,8.0
8,16402,8.0
8,12003,9.0
8,4,10.0
8,29,10.0
8,32799,8.156
8,16420,1.0
8,16421,9.425
8,39,9.572
8,6548,8.0
8,32812,1.0
8,19642,8.0
10,3076,10.0
10,29707,10.0
10,21517,8.0
10,14351,8.0
10,5138,2.0
10,24596,8.0
10,22552,8.0
10,12292,2.0
10,29723,9.0
10,12318,8.0
10,16421,10.0
10,9257,8.0
10,20659,10.0
10,3140,8.0
10,6215,2.0
12,15374,8.0
12,30125,10.0
12,34715,9.0
12,16419,9.0
12,7720,8.0
12,15402,8.0
12,31275,8.0
12,15918,8.0
12,33163,8.0
12,4787,8.0
12,24109,8.0
12,32949,8.0
12,16451,8.0
12,1974,9.0
12,34441,8.0
14,1,8.0
14,4,8.476
14,13,9.0
14,16406,2.0
14,8216,9.0
14,29,10.0
14,16414,8.0
14,32802,9.0
14,16421,10.0
14,36872,10.0
14,24626,10.0
14,52,8.423
14,57,8.0
14,24639,10.0
14,16396,8.0
16,15491,8.0
16,33589,9.0
16,30839,1.0
16,16171,8.0
16,4236,10.0
16,4558,10.0
16,6239,10.0
18,26956,8.0
18,12290,8.0
18,4102,9.0
18,36872,8.824
18,27824,1.0
18,16396,9.0
18,28688,8.667
18,8210,8.0
18,8216,8.0
18,20484,8.0
18,8227,8.0
18,30726,8.0
18,39,10.0
18,12328,8.0
18,16425,8.0
20,32777,10.0
20,8205,9.0
20,8206,8.0
20,6829,8.0
20,16402,8.0
20,24597,2.0
20,24612,9.0
20,36872,8.436
20,24626,8.563
20,52,8.375
20,19642,8.0
20,57,9.0
20,24639,8.814
20,32834,8.0
20,16451,10.0
22,32775,2.0
22,32777,9.0
22,32780,8.0
22,8206,9.0
22,23213,10.0
22,30825,9.409
22,32800,10.0
22,24612,9.0
22,52,8.121
22,54,8.0
22,57,9.0
22,8252,8.0
22,24637,8.0
22,24639,8.51
22,32834,8.0
24,20480,8.0
24,2049,10.0
24,4105,9.0
24,24919,1.0
24,24597,1.0
24,32791,10.0
24,14366,8.0
24,32799,8.0
24,2080,10.0
24,31410,2.0
24,6197,2.0
24,12354,10.0
24,18506,10.0
24,6220,2.0
24,4181,9.0
28,1,8.0
28,12290,9.0
28,20484,8.0
28,4104,8.555
28,4105,8.0
28,32780,10.0
28,8877,8.0
28,28705,8.0
28,16419,10.0
28,20516,2.0
28,24613,8.0
28,36902,8.0
28,28716,8.0
